category,img_size,feature_choice,patch_grid,patch_top_fraction,threshold,auroc,accuracy,normal_recall,anomaly_recall,macro_f1
grid,512,last3,14,0.05,0.0546453632414341,0.8805346700083543,0.782051282051282,0.8095238095238095,0.7719298245614035,0.7523809523809524
grid,512,last3,14,0.1,0.04829931631684303,0.8479532163742689,0.6666666666666666,0.8095238095238095,0.6140350877192983,0.6479166666666667
grid,512,last3,20,0.01,0.08828690648078918,0.8721804511278195,0.6666666666666666,0.9523809523809523,0.5614035087719298,0.6585858585858586
grid,512,last3,20,0.03,0.06538404524326324,0.9147869674185463,0.8205128205128205,0.8571428571428571,0.8070175438596491,0.7939622641509434
grid,512,last3,20,0.05,0.05829479917883873,0.8964076858813701,0.782051282051282,0.7619047619047619,0.7894736842105263,0.7470913599084493
grid,512,last3,20,0.1,0.051214549690485,0.8646616541353384,0.6666666666666666,0.8095238095238095,0.6140350877192983,0.6479166666666667
carpet,224,last1,8,0.01,0.017676079645752907,0.896067415730337,0.8205128205128205,0.8928571428571429,0.797752808988764,0.7876954981422275
carpet,224,last1,8,0.03,0.014499799348413944,0.9008828250401284,0.8034188034188035,0.8214285714285714,0.797752808988764,0.7636363636363637
carpet,224,last1,8,0.05,0.011226054280996323,0.9052969502407705,0.7948717948717948,0.75,0.8089887640449438,0.7467532467532467
carpet,224,last1,8,0.1,0.00906029250472784,0.8964686998394863,0.7777777777777778,0.5714285714285714,0.8426966292134831,0.7019984326018809
carpet,224,last1,14,0.01,0.019839702174067497,0.9189406099518459,0.8632478632478633,0.9642857142857143,0.8314606741573034,0.8369337979094077
carpet,224,last1,14,0.03,0.013914128765463829,0.9217495987158908,0.8717948717948718,0.8928571428571429,0.8651685393258427,0.8402366863905326
carpet,224,last1,14,0.05,0.0114608658477664,0.9185393258426966,0.8376068376068376,0.75,0.8651685393258427,0.7893490002842793
carpet,224,last1,14,0.1,0.008959967643022537,0.9048956661316211,0.7948717948717948,0.6071428571428571,0.8539325842696629,0.7249216300940439
carpet,224,last1,20,0.01,0.023656070232391357,0.9305778491171749,0.8461538461538461,0.9642857142857143,0.8089887640449438,0.8194444444444444
carpet,224,last1,20,0.03,0.01588946022093296,0.9357945425361156,0.8547008547008547,0.9285714285714286,0.8314606741573034,0.825296442687747
carpet,224,last1,20,0.05,0.012965341098606586,0.9269662921348314,0.8205128205128205,0.7857142857142857,0.8314606741573034,0.7763313609467456
carpet,224,last1,20,0.1,0.009956501424312592,0.9101123595505618,0.811965811965812,0.7142857142857143,0.8426966292134831,0.7586271567891973
carpet,224,last2,8,0.01,0.030026674270629883,0.8920545746388442,0.811965811965812,0.8571428571428571,0.797752808988764,0.7757839721254356
carpet,224,last2,8,0.03,0.023945560678839684,0.891653290529695,0.7863247863247863,0.75,0.797752808988764,0.738582536419698
